"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29099918020";"Comisiones Recibidas";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"Ramos_Total";515466759;1072815002;2297992062;2826049781;3607941108;4226141607;4932841138;5667169297;6381671802;7109808580;7778093395;8951016419;401029354;922131845;2262533596;2841669355;3689206972;4158647493;4847086014;5875578219;6959814792;7896832443;8642571310;9328540843;544670829
"29099918020";"Comisiones Recibidas";"Ramos_Vida";0;0;80745347;80745347;80745347;81641010;106960409;128576935;145747385;155758129;174842291;194174221;25903723;52352205;68775016;69328746;104345987;127929577;148690586;160280018;166540020;177406958;205879954;177890187;17783410
"29099918020";"Comisiones Recibidas";"Ramos_Generales";515466759;1072815002;2217246715;2745304434;3527195761;4144500597;4825880729;5538592362;6235924417;6954050451;7603251104;8756842198;375125631;869779640;2193758580;2772340609;3584860985;4030717916;4698395428;5715298201;6793274772;7719425485;8436691356;9150650656;526887419
"29099918020";"Comisiones Recibidas";"Ramos_Objetivo";432545544;953609722;2098396631;2600823816;3313046388;3798777954;4397901455;4980604293;5678438402;6351428137;6990218231;8176160823;377475119;844285978;1956427668;2442325877;3235126835;3694457394;4213668320;5187517851;6228022562;7057974354;7705459594;8346588703;513664934
"29099918020";"Comisiones Recibidas";"Ramos_Objetivo_Grales";432545544;953609722;2017651284;2520078469;3232301041;3717136944;4290941046;4852027358;5532691017;6195670008;6815375940;7981986602;351571396;791933773;1887652652;2372997131;3130780848;3566527817;4064977734;5027237833;6061482542;6880567396;7499579640;8168698516;495881524
"29099918020";"Comisiones Recibidas";"Ramos_Objetivo_Vida";0;0;80745347;80745347;80745347;81641010;106960409;128576935;145747385;155758129;174842291;194174221;25903723;52352205;68775016;69328746;104345987;127929577;148690586;160280018;166540020;177406958;205879954;177890187;17783410
"29099918020";"Comisiones Recibidas";"Ramos_SS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099918020";"Comisiones Recibidas";"Ramos_Vida_sinSS";0;0;80745347;80745347;80745347;81641010;106960409;128576935;145747385;155758129;174842291;194174221;25903723;52352205;68775016;69328746;104345987;127929577;148690586;160280018;166540020;177406958;205879954;177890187;17783410
