"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29003601025";"ACEPTADAS REASEGURO EXTERIOR";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003601030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701020";"ACEPTADAS REASEGURO INTERIOR";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701025";"ACEPTADAS REASEGURO EXTERIOR";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801020";"ACEPTADAS REASEGURO INTERIOR";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801025";"ACEPTADAS REASEGURO EXTERIOR";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901020";"ACEPTADAS REASEGURO INTERIOR";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901025";"ACEPTADAS REASEGURO EXTERIOR";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001020";"ACEPTADAS REASEGURO INTERIOR";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001025";"ACEPTADAS REASEGURO EXTERIOR";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101020";"ACEPTADAS REASEGURO INTERIOR";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101025";"ACEPTADAS REASEGURO EXTERIOR";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201020";"ACEPTADAS REASEGURO INTERIOR";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201025";"ACEPTADAS REASEGURO EXTERIOR";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301020";"ACEPTADAS REASEGURO INTERIOR";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301025";"ACEPTADAS REASEGURO EXTERIOR";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
