"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29002401035";"CEDIDAS REASEGURO INTERIOR";"DESEMPLEO";-9738999125;-20640385888.7;-31889453920.8;-43837933813.6;-53879846483.6;-65836637617.28;-77305714484.43;-88675302541.43;-101180969767.43;-113723894364.21;-126240799648.21;-141373893095.21;-11836330913.6;-23446297211.6;-35728934681.6;-47078259276;-59886631778;-70606134707;-82401507310;-95017768263;-108301899468;-120776320747;-132321105462;-144030481806;-8435684136
"29002401040";"CEDIDAS REASEGURO EXTERIOR";"DESEMPLEO";-1340787.6;-2691186.3;-4080031.2;-5502515.4;-5502515.4;-8414763.3;-9890109.9;-11216480.4;-12552462;-12552462;-15214813.2;-16545989.7;-1400581.8;-2741369.4;-403647.2;-1503551.94;-2916423.24;-4031653.96;-5516608.06;-6965944.75;-8547008.95;-10022347.45;-11512102.15;-17140476.6;-1227521.7
"29002401045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"DESEMPLEO";0;0;0;0;0;-473108.58;-473108.58;-652184.54;-1040137.09;-5001151.87;-5001151.87;-5001151.87;-5372484;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-12272792.35;0
"29002501035";"CEDIDAS REASEGURO INTERIOR";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002501040";"CEDIDAS REASEGURO EXTERIOR";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002501045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002601035";"CEDIDAS REASEGURO INTERIOR";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002601040";"CEDIDAS REASEGURO EXTERIOR";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002601045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002701035";"CEDIDAS REASEGURO INTERIOR";"ACCIDENTES PERSONALES";-4410689099;-10225050730.88;-15685809868.94;-22855455434.4;-30540824148.65;-37245774382.55;-42822756654.72;-48530027171.56;-54318674536.52;-60095992598.52;-65648265981.52;-70617208126.52;-4731470111;-9174814664;-15250117241;-20942053996.27;-26305564638.27;-31270190376.65;-36128345639.65;-42108036073.08;-49336431151.08;-56938073002.08;-64769472118.08;-72434398834.08;-6025359709
"29002701040";"CEDIDAS REASEGURO EXTERIOR";"ACCIDENTES PERSONALES";-21970551.8;-32513422.21;-47064394.95;-42512393.84;-62675256.56;-70031560.58;-71643651.84;-73106077.16;-79493316.48;-92807954.54;-97998299.34;-108484252.53;-22822790.8;-28672736.69;-50180261.88;-54194865.78;-54421814.24;-85894940.19;-86473383.99;-88829263.59;-97337134.59;-115061921.19;-120816047.59;-130304465.39;-25113318.2
"29002701045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"ACCIDENTES PERSONALES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002801035";"CEDIDAS REASEGURO INTERIOR";"COLECTIVO VIDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002801040";"CEDIDAS REASEGURO EXTERIOR";"COLECTIVO VIDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002801045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"COLECTIVO VIDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002901035";"CEDIDAS REASEGURO INTERIOR";"EDUCATIVO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002901040";"CEDIDAS REASEGURO EXTERIOR";"EDUCATIVO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002901045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"EDUCATIVO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003001035";"CEDIDAS REASEGURO INTERIOR";"VIDA GRUPO";-4146733279;-9776838452;-14882488333;-20138870774;-25359382481;-30920824529;-35852317525;-41288404990;-46657999526;-52075277925;-59343190771;-65459199750;-6736709943;-9996554466;-20330422365;-27900601494;-33656009615;-42738774873;-49239706912;-56578504440;-65103575832;-73272436228;-80614735983;-88572975709;-7461929063
"29003001040";"CEDIDAS REASEGURO EXTERIOR";"VIDA GRUPO";-12716166448.53;-24578891032;-35649656237.3;-48742021385.7;-60449535167.94;-74252648449.22;-86913110181.23;-100723823969.53;-114538638012.12;-127846234513.91;-142306660610.79;-156027531151.71;-14880819953.55;-32045308507.65;-41477109242.7;-57543228762.83;-73844696611.76;-87831762328.43;-101876793113.78;-117993586788.06;-133359164879.33;-147834752232.85;-164118194458.35;-179520365904.93;-16679587556.41
"29003001045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"VIDA GRUPO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003101035";"CEDIDAS REASEGURO INTERIOR";"SALUD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003101040";"CEDIDAS REASEGURO EXTERIOR";"SALUD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"SALUD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003201035";"CEDIDAS REASEGURO INTERIOR";"ENFERMEDADES DE ALTO COSTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003201040";"CEDIDAS REASEGURO EXTERIOR";"ENFERMEDADES DE ALTO COSTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003201045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"ENFERMEDADES DE ALTO COSTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003301035";"CEDIDAS REASEGURO INTERIOR";"VIDA INDIVIDUAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003301040";"CEDIDAS REASEGURO EXTERIOR";"VIDA INDIVIDUAL";-46387056.97;-83380976.44;-129943845.36;-171425991.62;-202789013.94;-249383219.89;-297231830.23;-327796407.4;-365630225.27;-405831651.2;-442242374.4;-481226264.78;0;0;-105633154.73;-139607048.48;-173211078.2;-206556710.49;-237934195;-270633967.5;-335089812.51;-397697030.76;-459017590.08;-519531350.59;-58971496.62
"29003301045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"VIDA INDIVIDUAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003401035";"CEDIDAS REASEGURO INTERIOR";"PREVISIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003401040";"CEDIDAS REASEGURO EXTERIOR";"PREVISIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003401045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"PREVISIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003501035";"CEDIDAS REASEGURO INTERIOR";"RIESGOS LABORALES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003501040";"CEDIDAS REASEGURO EXTERIOR";"RIESGOS LABORALES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003501045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"RIESGOS LABORALES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003601035";"CEDIDAS REASEGURO INTERIOR";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003601040";"CEDIDAS REASEGURO EXTERIOR";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003601045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701035";"CEDIDAS REASEGURO INTERIOR";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701040";"CEDIDAS REASEGURO EXTERIOR";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003701045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801035";"CEDIDAS REASEGURO INTERIOR";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801040";"CEDIDAS REASEGURO EXTERIOR";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003801045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901035";"CEDIDAS REASEGURO INTERIOR";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901040";"CEDIDAS REASEGURO EXTERIOR";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29003901045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001035";"CEDIDAS REASEGURO INTERIOR";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001040";"CEDIDAS REASEGURO EXTERIOR";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004001045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101035";"CEDIDAS REASEGURO INTERIOR";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101040";"CEDIDAS REASEGURO EXTERIOR";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201035";"CEDIDAS REASEGURO INTERIOR";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201040";"CEDIDAS REASEGURO EXTERIOR";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004201045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301035";"CEDIDAS REASEGURO INTERIOR";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301040";"CEDIDAS REASEGURO EXTERIOR";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29004301045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019101035";"CEDIDAS REASEGURO INTERIOR";"Ramos_Total";-21340193605.4;-47678500136.35;-71625180439.95;-99819618258.67;-126176089153.08;-153396949776.34;-178231019454.31;-204220870727.82;-230898981161.18;-257777094737.15;-286266589796.37;-315654575505.16;-26605160617.03;-49042304693.17;-80968302773.87;-108982906429.75;-136947352732.18;-164619969917.1;-190944229953.22;-220638276376.05;-253675815142.81;-285696766912.42;-315244963336.45;-346425422361.28;-25247343479.44
"29019101040";"CEDIDAS REASEGURO EXTERIOR";"Ramos_Total";-16211269720.3;-31320809653.9;-46668450246.37;-61952191333.13;-76688997438.83;-99999518973.05;-115869713580.25;-132630649874.34;-158150823328.94;-183073051772.91;-200786787725.76;-221667705625.69;-18425227116.29;-39588269807.4;-53686106318.52;-74608955246.1;-95000088639.83;-122671027013.22;-140361060967.88;-163643231321.88;-184877801436.16;-204094349119.27;-224200965866.4;-245649570716.91;-21613323033.07
"29019101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"Ramos_Total";0;0;0;-64457755.43;-64457755.43;-64930864.01;-64930864.01;-65109939.97;-65497892.52;-69458907.3;-69458907.3;-69458907.3;-5558630.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-184428727.87;0
"29019201035";"CEDIDAS REASEGURO INTERIOR";"Ramos_Vida";-18296421503;-40642275071.58;-62457752122.74;-86832260022;-109780053113.25;-134003236528.83;-155980788664.15;-178493734702.99;-202157643829.95;-225895164887.73;-251232256400.73;-277450300971.73;-23304510967.6;-42617666341.6;-71309474287.6;-95920914766.27;-119848206031.27;-144615099956.65;-167769559861.65;-193704308776.08;-222741906451.08;-250986829977.08;-277705313563.08;-305037856349.08;-21922972908
"29019201040";"CEDIDAS REASEGURO EXTERIOR";"Ramos_Vida";-12785864844.9;-24697476616.95;-35830744508.81;-48961462286.56;-60720501953.84;-74580477992.99;-87291875773.2;-101135942934.49;-114996314015.87;-128357426581.65;-142862116097.73;-156633787658.72;-14905043326.15;-32076722613.74;-41633326306.51;-57738534229.03;-74075245927.44;-88128245633.07;-102206717300.83;-118360015963.9;-133800138835.38;-148357533532.25;-164709540198.17;-180187342197.51;-16764899892.93
"29019201045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"Ramos_Vida";0;0;0;0;0;-473108.58;-473108.58;-652184.54;-1040137.09;-5001151.87;-5001151.87;-5001151.87;-5372484;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-5446032;-12272792.35;0
"29019301035";"CEDIDAS REASEGURO INTERIOR";"Ramos_Generales";-3043772102.4;-7036225064.77;-9167428317.21;-12987358236.67;-16396036039.83;-19393713247.51;-22250230790.16;-25727136024.83;-28741337331.23;-31881929849.42;-35034333395.64;-38204274533.43;-3300649649.43;-6424638351.57;-9658828486.27;-13061991663.48;-17099146700.91;-20004869960.45;-23174670091.57;-26933967599.97;-30933908691.73;-34709936935.34;-37539649773.37;-41387566012.2;-3324370571.44
"29019301040";"CEDIDAS REASEGURO EXTERIOR";"Ramos_Generales";-3425404875.4;-6623333036.95;-10837705737.56;-12990729046.57;-15968495484.99;-25419040980.06;-28577837807.05;-31494706939.85;-43154509313.07;-54715625191.26;-57924671628.03;-65033917966.97;-3520183790.14;-7511547193.66;-12052780012.01;-16870421017.07;-20924842712.39;-34542781380.15;-38154343667.05;-45283215357.98;-51077662600.78;-55736815587.02;-59491425668.23;-65462228519.4;-4848423140.14
"29019301045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"Ramos_Generales";0;0;0;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-64457755.43;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-186146.61;-172155935.52;0
"29019401035";"CEDIDAS REASEGURO INTERIOR";"Ramos_Objetivo";-21267910168.13;-47606489067.88;-71552897002.68;-99747334821.4;-126103805715.81;-153324666339.07;-178158736017.04;-204040836438.15;-230718943031.51;-257597056607.48;-286086551666.7;-315443557187.59;-26605160617.03;-49042304693.17;-80968302773.87;-108955193962.75;-136873256037.28;-164545873222.2;-190845918734.92;-220447814932.71;-253160032410.27;-285202511676.69;-314750708100.72;-345931167125.55;-25247343479.44
"29019401040";"CEDIDAS REASEGURO EXTERIOR";"Ramos_Objetivo";-15043792449.12;-28584545832.29;-42875930313.96;-57136882825.37;-70748164837.7;-92501852981.29;-107172837312.08;-122651224164.32;-139934560089.94;-155328828377.37;-171367157847.3;-189036145820.77;-16369250925.65;-35392330991.39;-47340445614.02;-66136793323.86;-84090686291.52;-108403298705.99;-123859753973.03;-144079612310.76;-163169627176.74;-180193683019.45;-197925353484.96;-217553751110.66;-18454641860.44
"29019401045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"Ramos_Objetivo";0;0;0;-64457755.43;-64457755.43;-64930864.01;-64930864.01;-65109939.97;-65497892.52;-69458907.3;-69458907.3;-69458907.3;-5558630.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-171806777.02;0
"29019501035";"CEDIDAS REASEGURO INTERIOR";"Ramos_Objetivo_Grales";-2971488665.13;-6964213996.3;-9095144879.94;-12915074799.4;-16323752602.56;-19321429810.24;-22177947352.89;-25547101735.16;-28561299201.56;-31701891719.75;-34854295265.97;-37993256215.86;-3300649649.43;-6424638351.57;-9658828486.27;-13034279196.48;-17025050006.01;-19930773265.55;-23076358873.27;-26743506156.63;-30418125959.19;-34215681699.61;-37045394537.64;-40893310776.47;-3324370571.44
