"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29019212025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Vida";0;0;15690801344;21271092994;26771643898;34266352986;39749752996;45510485831;51552663002;57468719461;63497242774;69186132318;5195254750;9732212311;16961185441;22422067669;28808464972;36046795831;41407954929;47567149698;53970108724;60818498887;67497487426;72284868611;5088902875
"29019312005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_Generales";382684779;900588039;1426448600;1812841159;2386250625;3237146273;3643524020;4461588033;5177471801;5897659892;6636450973;7801014321;369263012;946372577;1512364261;1823121952;2327686537;2775596881;3316257621;3728546299;4479837242;5253010615;6622725778;6846365733;581673268
"29019312010";"COMISIONES AFP";"Ramos_Generales";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019312025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Generales";0;0;4426424140;6098582139;7704572543;9439303043;11018818891;12628186079;14740921534;16579280892;18899002230;20706083206;1341937110;2548424336;4374970008;5999004530;7776051612;9788413350;11383183169;13622180324;16385091565;18432982212;20700453883;21640417260;1282678800
"29019412005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_Objetivo";489208800;1080672383;1728665107;2258269034;2944318806;3908435585;4433755363;5447360526;6315584338;7168580121;8036879138;9408270790;487122694;1154288363;1902097785;2364481891;2997813025;3598981044;4245259757;4764932082;5632645349;6519244002;8111233275;8307318062;737051168
"29019412010";"COMISIONES AFP";"Ramos_Objetivo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019412025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Objetivo";0;0;20099068726;27339165301;34385616566;43473388295;50424019821;57777633695;65743199366;73307585962;81646199030;89138724454;6526869579;12270624475;21242749160;28237688465;36394418194;45642659706;52596353486;60989485588;70147577764;79037439789;87978918696;93705073341;6365497905
"29019512005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_Objetivo_Grales";374391164;883870993;1402051290;1779383993;2342732427;3179423043;3574608634;4385039223;5097934411;5812298843;6541047783;7716312658;358453437;892781676;1451103133;1762629202;2262578810;2705835426;3240682779;3643172860;4386144291;5152894139;6493554451;6772528921;579692660
"29019512010";"COMISIONES AFP";"Ramos_Objetivo_Grales";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019512025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Objetivo_Grales";0;0;4408267382;6068072307;7613972668;9207035309;10674266825;12267147864;14190536364;16004972258;18315062013;20118697893;1331614829;2538412164;4281563719;5815620796;7585953222;9595863875;11188398557;13422335890;16177469040;18218940902;20481431270;21420204730;1276595030
"29019612005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_Objetivo_Vida";114817636;196801390;326613817;478885041;601586379;729012542;859146729;1062321303;1217649927;1356281278;1495831355;1691958132;128669257;261506687;450994652;601852689;735234215;893145618;1004576978;1121759222;1246501058;1366349863;1617678824;1534789141;157358508
"29019612010";"COMISIONES AFP";"Ramos_Objetivo_Vida";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019612025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Objetivo_Vida";0;0;15690801344;21271092994;26771643898;34266352986;39749752996;45510485831;51552663002;57302613704;63331137017;69020026561;5195254750;9732212311;16961185441;22422067669;28808464972;36046795831;41407954929;47567149698;53970108724;60818498887;67497487426;72284868611;5088902875
"29019712005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_SS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019712010";"COMISIONES AFP";"Ramos_SS";0;0;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019712025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_SS";0;0;0;0;0;0;0;0;0;166105757;166105757;166105757;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019812005";"REMUNERACION A FAVOR DE INTERMEDIA";"Ramos_Vida_sinSS";114817636;196801390;326613817;478885041;601586379;729012542;859146729;1062321303;1217649927;1356281278;1495831355;1691958132;128669257;261506687;450994652;601852689;735234215;893145618;1004576978;1121759222;1246501058;1366349863;1617678824;1534789141;157358508
"29019812010";"COMISIONES AFP";"Ramos_Vida_sinSS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29019812025";"REMU POR USO DE RED Y A CANA DE COMERC";"Ramos_Vida_sinSS";0;0;15690801344;21271092994;26771643898;34266352986;39749752996;45510485831;51552663002;57302613704;63331137017;69020026561;5195254750;9732212311;16961185441;22422067669;28808464972;36046795831;41407954929;47567149698;53970108724;60818498887;67497487426;72284868611;5088902875
"29099936040";"Comisiones Pagadas";"TOTAL";497502415;1097389429;21893999523;29685112955;37487765067;47695526466;55294954258;63686292868;72712417886;81325653145;90552238954;99408899599;7017078021;13488515911;23299514362;30846046840;39647437336;49503951680;57111972697;66039635543;76081538589;85870841577;96438345911;102306440745;7110613451
"29099936040";"Comisiones Pagadas";"SUBTOTAL - RAMOS";497502415;1097389429;21893999523;29685112955;37487765067;47695526466;55294954258;63686292868;72712417886;81325653145;90552238954;99408899599;7035124129;13488515911;23299514362;30846046840;39647437336;49503951680;57111972697;66039635543;76081538589;85870841577;96438345911;102306440745;7110613451
"29099936040";"Comisiones Pagadas";"AUTOMOVILES";2886239;5257597;24402579;37263620;99017865;248716438;370169934;390634144;581047455;607005349;618734681;622629247;13571292;55747349;138779556;227042485;234224997;238833896;241411598;256796175;268500356;277791625;302955356;249311636;7874168
"29099936040";"Comisiones Pagadas";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163620;547620;793920;1010340;1010340;0
"29099936040";"Comisiones Pagadas";"RESPONSABILIDAD CIVIL";20356683;43138203;92634261;123621847;154898843;209840858;245093571;300287799;350931374;399266743;474804590;541179579;4701653;43056425;87930769;124672965;169519883;215982016;255242453;295638989;358658782;412253393;525669715;526456644;47204531
"29099936040";"Comisiones Pagadas";"INCENDIO";126808429;276259980;1736759689;2451749592;3065643757;3742289408;4276944294;4948456512;5601082734;6227835653;6868585913;7745545409;660751677;1131626644;1904864075;2414428572;3050155268;3731228886;4268596727;4816211887;5474248639;6129101304;6927890087;7483868828;541179075
"29099936040";"Comisiones Pagadas";"TERREMOTO";49273597;123927090;1133884714;1460024857;1859420685;2447265113;2827036655;3299265537;3761966020;4193512426;4657533944;5240680175;437624012;739475425;1259650984;1636922198;2064333927;2539167546;2923997328;3324194035;3790181025;4263808668;4867817041;5271523001;436353639
"29099936040";"Comisiones Pagadas";"SUSTRACCION";39460576;101695506;864157133;1462186306;2012854250;2546080392;3045963370;3616955521;4531989573;5648234605;6776674852;8157197832;351410952;961260417;1676768757;2275224109;2954326766;3920147813;4648856647;5597421485;7105317788;8146003248;9596462964;9868033002;520615363
"29099936040";"Comisiones Pagadas";"TRANSPORTE";34865087;61781166;105889426;132108083;162664190;207055897;232028008;284212103;319511106;370993859;405012983;537625908;28584997;61017479;111200780;138078344;133994631;159116440;188291126;219146086;279898171;312587083;432455316;414549197;22383582
"29099936040";"Comisiones Pagadas";"CORRIENTE DÉBIL";10562194;30771671;1384979501;1582293667;1821760296;1981770863;2180515085;2422588326;2646779156;2592457866;2977115618;2542853494;48070870;82089069;86225319;264464172;582458170;659047076;725300226;1194687425;1632401355;1876383596;2056204591;2025420152;80883467
"29099936040";"Comisiones Pagadas";"TODO RIESGO CONTRATISTA";5407376;11459449;18151489;26703378;35100208;41274526;43297518;46952881;48875105;52664334;60608726;49457729;7560564;7855724;15887861;16833999;20981120;23477034;28947856;28258078;32267500;35572241;44228244;43727366;190210
"29099936040";"Comisiones Pagadas";"MANEJO";10432327;21744148;37313136;44242986;55103568;72651380;83688397;101702479;117060089;133225299;147951895;164940959;7759104;29219174;44770626;45714704;55929171;70721121;80677825;90751169;109357508;126862028;164348667;152174117;12140218
"29099936040";"Comisiones Pagadas";"LUCRO CESANTE";24118276;45019391;58844019;67553168;78159477;101508047;110199615;134111058;154463478;177849638;202418984;239665840;30206781;50453519;59318275;68413669;72545006;83878425;151037378;177320552;206735513;219641385;285718972;274395025;23366652
"29099936040";"Comisiones Pagadas";"MONTAJE Y ROTURA DE MAQUINARIA";58513995;179533838;395856793;523675794;746200029;1077996394;1247406464;1544607752;1804687245;2073895012;2346011017;2665321355;120958220;332995688;501937267;610331265;765269210;922409978;1187081626;1350137122;1606814550;1885194336;2118418368;2176313685;172161163
"29099936040";"Comisiones Pagadas";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
